"VMName","NetworkName"
"11.114-OTDEV1-IAVA","PROD"
"12.52 - OTDEV2DMACSFS","PROD"
"18.020-Sports-Content-NewIP","PROD"
"18.020-Sports-Content-NewIP","PROD"
"11.074-OTDEV1-XM","PROD"
"11.143-OTDEV1PS02","PROD"
"11.014-OTDEV1-NV","PROD"
"13.119-OTDEV3CSDM","PROD"
"11.086-OTDEV1DMACS","PROD"
"SPORTS-SQL","PROD"
"SPORTS-SQL","PROD"
"19.030-203RegionalWFE1","PROD"
"40.58 CMTARS-CS-4","PROD"
"30.IDK-ROBRHEL82","PROD"
"19.033-203RegionalSQL","PROD"
"30.168-AL2023RFOSTER9","PROD"
"40.023-CMTARS-GB","PROD"
"13.053-OTDEV3SQLAG1","PROD"
"40.063 CMTARS-IC2-1","PROD"
"12.183-OTDEV2FS","PROD"
"12.253-OTHADC2","PROD"
"13.215-OTDEV3-CEN01","PROD"
"11.028-sharepointNV","PROD"
"14.71-OTDEV4AWBR","PROD"
"11.011-OTDEV1-KS","PROD"
"11.142-OTDEV1SQL01","PROD"
"19.010-203LocalWFE1","PROD"
"13.137-OTDEV3SC","PROD"
"11.215-OTDEV1-LOADRUNNER4","PROD"
"13.051-OTDEV3AWPS2","PROD"
"41.54 CMTARS-API-1-KeepOff","PROD"
"14.91-OTDEV4CEN01","PROD"
"21.54-OTDEV9PS2CN","PROD"
"11.054-BCS2","PROD"
"30.TBD - ROB AL2023 - 6-26-2024_2","PROD"
"11.019-OTDEV1-ER","PROD"
"11.068-OTDEV1-ML2","PROD"
"30.233-AL2Rob233","PROD"
"19.036-203Conquest","PROD"
"14.106 - OTDEV4PA1","PROD"
"13.054-OTDEV3SQLAG2","PROD"
"21.76 - OTDEV9IV1","PROD"
"13.112-OTDEV3DS2","PROD"
"14.113 - OTDEV4IV2","PROD"
"11.242-OTDEV1CSBR1","PROD"
"19.023-203CentralSQL","PROD"
"14.72-OTDEV4AWBRJB","PROD"
"41.101 CMTARS-OOS","PROD"
"19.035-203REGHERAWEB","PROD"
"41.030 CMTARS-API-1 -KeepOff","PROD"
"11.172-OTDEV1DOCKER2","PROD"
"11.072-OTDEV1-JT1","PROD"
"14.111 - OTDEV4CSFE1","PROD"
"11.020-OTDEV1-MD","PROD"
"11.246-OTDEV1CSFS01","PROD"
"11.138 - OTDEV1AWBVJB1","PROD"
"11.118-OTDEV1PS1","PROD"
"11.027-OTDEV1SP01","PROD"
"11.078-OTDEV1TeamCity1","PROD"
"11.070-OTDEV1-NV1","PROD"
"14.51-OTDEV4CSBR","PROD"
"14.41-OTDEV4FS","PROD"
"11.016-OTDEV1-KY","PROD"
"11.232-OTDEV1Joplin","PROD"
"14.109 - OTDEV4PASQL2","PROD"
"11.203-OTDEV1ESQL","PROD"
"11.245-OTDEV1CSJP2","PROD"
"11.038 - OTDEV1-JT3","PROD"
"12.25-OTDEV2SQL04","PROD"
"11.127 - OTDEV1PASQL3","PROD"
"11.244-OTDEV1CSJP1","PROD"
"12.69-OTdev2ECS01","PROD"
"11.243-OTDEV1CSBR2","PROD"
"11.121 - OTDEV1IV1","PROD"
"13.050-OTDEV3AWPS1","PROD"
