"VMName","NetworkName"
"12.216 - OTDEV2MINIO","PROD"
"12.230 - OTDEV2DMACSFE1","PROD"
"12.229 - OTDEV2DMACSA1","PROD"
"12.226 - OTDEV2DMACS1","PROD"
"12.224 - OTDEV2DMSQL2","PROD"
"12.223 - OTDEV2DMSQL1","PROD"
"12.219 - OTDEV2PM1","PROD"
"12.215 - OTDEV2WFESQL2","PROD"
"12.188 - OTDEV2PASQL2","PROD"
"12.187 - OTDEV2PASQL1","PROD"
"11.220-OTDEV1TCBS01","PROD"
"12.195 - OTDEV2DSSQL2","PROD"
"12.194 - OTDEV2DSSQL1","PROD"
"12.214 - OTDEV2WFESQL1","PROD"
"40.019-CMTARS-AY-KeepOff","PROD"
"12.203 - OTDEV2CSFE1","PROD"
"21.114 - OTDEV9DSWK","PROD"
"12.198 - OTDEV2OTDS2","PROD"
"12.227 - OTDEV2DMACS2","PROD"
"12.191 - OTDEV2PA2","PROD"
"12.199 - OTDEV2FS1","PROD"
"11.080-OTDEV1-YW","PROD"
"21.113 - OTDEV9PSWK","PROD"
"12.197 - OTDEV2OTDS1","PROD"
"12.200 - OTDEV2SC1","PROD"
"12.205 - OTDEV2IV1","PROD"
"12.220 - OTDEV2PM2","PROD"
"12.211 - OTDEV2WFE2","PROD"
"12.207 - OTDEV2IVPUB1","PROD"
"12.190 - OTDEVPA1","PROD"
"12.206 - OTDEV2IV2","PROD"
"12.202 - OTDEV2CSA1","PROD"
"12.208 - OTDEV2IVPUB2","PROD"
"12.210 - OTDEV2WFE1","PROD"
